text,label,notes the show mentioned
"Dark is very intriguing and entertaining but I personally think it got a bit lost in the sauce towards the end. That being said, it doesn't outstay its welcome like Stranger Things possibly has and still ends quite well.",critique,Dark
"No.. it just tries to confuse the audience by withholding information and throwing around some words that dont fit the context. Entertaining if you switch off, but not engaging.",critique,Dark
One of the single greatest TV shows I've ever watched. I've only seen it once but I find myself thinking about it at least once a week.,surface_opinion,the leftovers
"Top tier. Fuck Patti, I despised her character more than any other I've seen in a show.",surface_opinion,the leftovers
I just finished this show for the first time a few weeks ago and it’s ruined other tv for me. So fucking good.,surface_opinion,the leftovers
Absolutely fantastic and has a contender for greatest tv episode of all-time. Actually I’d put the final two episodes against any final two of any series I’ve ever seen.,surface_opinion,the leftovers
Life-changing for me and Justin Theroux pulls off one of the best performances I’ve ever seen. His “Homeward Bound” scene alone is worth the price of admission.,surface_opinion,the leftovers
"undoubtedly one of the best works of art ever done in any kind of media. no, I’m not joking or exaggerating, I really see it this way",surface_opinion,the leftovers
"S Tier easily. Perfect show from start to finish, breathtaking worldbuilding, beautiful animation, every main character is likable and well written, memorable quotes, solid action, incredibly impossible to hate, and manages to be equally enjoyed by both kids and adults.",surface_opinion, Avatar: The Last Airbender 
S. Geared towards kids but kind of timeless and consistently instills good ideals throughout the series.,surface_opinion, Avatar: The Last Airbender 
S. Excellent throughout and the finale is some of the greatest television ever made.,surface_opinion, Avatar: The Last Airbender 
"A tier. I think it could be S but there's some episodes that are quite bad quality imo and overall the pacing wasn't ideal. I think if instead of 3 books, there were 4, it could be S.",surface_opinion, Avatar: The Last Airbender 
It is better than Stranger Things but you have to pay full attention when watching otherwise you'll be completely lost.,surface_opinion,Dark
There are only 3 TV shows that id give 10/10. Dark is one of them.,surface_opinion,Dark
his is a masterpiece totally worth watching! I enjoyed it in its original language (German) with subtitles but I am sure it will be great in English as well! I would recommend not doing much research on Dark but going straight into this to avoid spoilers ,surface_opinion,Dark
"If you love mind bending, time twisting plots and reveals then it's among the best of 2010s TV shows. Haven't come across a show that matches that since.",surface_opinion,Dark
"I’m currently on episode 8. Is way darker and creepier than stranger things. I’d say that stranger things is more enjoyable for people with below average IQ, Dark is better for smart people.",surface_opinion,Dark
Definitely worth a watch. We're just kicking off season three which has added an extra layer of wtf is happening but it's still really good. Not funny or nostalgic like stranger things and sometimes it's a little on the nose but I think it needs to be so you can keep up and make sense of what's happening,surface_opinion,Dark
"Best show I’ve ever watched, still waiting for something to come close to the rush this show gave me. Wish I could watch it again for the first time.",surface_opinion,Dark
"OMG. Yes, yeah and thrice yes. Just get a chart to track the characters. I’ve watched it 3 times and can’t still get confused.",surface_opinion,Dark
"Dark is phenomenal and bears no resemblance to Stranger Things. Along with The Expanse, it's perhaps the best TV show I've ever seen. Watch the original language with subtitles though, not the dubbed version. And be prepared to be very confused for much of the time - the penny drop moments are totally worth it.",surface_opinion,Dark
"I'm glad, it's one of my favorite shows. I hope that they take their time and don't try to rush it out this year. They shouldn't just put out whatever because people want it fast. They need some new creative ideas and with time i think they can do that and come out with some great new episodes.",surface_opinion,black mirror
"Yeah, as interesting as it is, I don’t really want to see another AI copy of someone’s consciousness type theme. Kinda feel like they’ve beaten that one enough.",surface_opinion,black mirror
"Black Mirror has the potential to last a lot longer than shows with set cast, plots, and settings. There may be seasons that aren’t as great as others, but that doesn’t mean there isn’t the potential for a few excellent episodes in each. I feel it’s the modern day equivalent of the twilight zone, and I hope it continues* for some time.",surface_opinion,black mirror
I hope its better than season 4.,surface_opinion,black mirror
"I have to confess, the last season was a mixed bag, I still liked the concepts but some didn't feel like BM episodes, instead some felt like Sci-Fi shorts or Murder mysteries with just a touch of Sc-fi.",critique,black mirror
"Hopefully it does something fresh for a change, it is getting tiring to have the exact same themes and technologies repeated across multiple episodes, while not actually using them in new and interesting ways.",critique,black mirror
"This will be unpopular, but I thought Black Museum was the worst case of style over substance. And the praise it's received makes me worried about the quality of the future of the show.",critique,black mirror
Black mirror needs to come up with new ideas. Enough with the same old consciousness-transfer theme.,critique,black mirror
"I just hope they move on from the human-consciousness-downloaded-onto-a-microchip trope as it's starting to get really, really tired.",critique,black mirror
"Please go back to the original release format, fewer episodes that are higher quality and preferably a longer time between seasons (as needed). I highly doubt that will happen though.",critique,black mirror
Really want some fresh writing. I don't care if they make just 3 episodes but make them on a level that raises the bar once again. Last season barely had 2 good episodes.,critique,black mirror
My favorites are San Junipero and White Christmas.,surface_opinion,black mirror
"i see a lot of people shitting on S4, honestly, in my opinion the show hasnt missed a step yet",surface_opinion,black mirror
"For me the writing fell flat, it was all very predictable, the concepts were repetitive, a decent amount of the characters were uninteresting and unlikeable and half of the episodes just felt incredibly boring",critique,black mirror
"I really wish they would do an episode based on the short story ""I have no mouth and I must scream"". Its my favorite short sci-fi story and I would love to see how black mirror would bring it to life.",surface_opinion,black mirror
I hope there’s an episode: Government simulates alien contact/alien invasion to push a political agenda.,surface_opinion,black mirror
"The only show I loved most of the episodes, except for the one where that digital annoying asswhipe becomes the president. Man, that episode was annoying.",surface_opinion,black mirror
"Black Mirror will never live up to its hype because viewers expect every episode to be White Christmas. I'd like to see them move the plots out of the West and try something based in China, India, or the Middle East.",critique,black mirror
"Overhyped series which are actually not great at all. The whole 2-part season had like 1-2 good episodes. The rest were average at best, mostly terrible.",critique,black mirror
I hope they go back to technology centric social commentary rather than just scifi short films like they've been doing since Netflix,surface_opinion,black mirror
Cancelling Black Mirror would be a Huge Mistake. There is about to be an infinite amount of content for a show like it.,surface_opinion,black mirror
I imagine renewing this show is a no brainer.. no reoccurring cast or story lines. Everything is fresh and new so... it's a perpetual money maker,surface_opinion,black mirror
Hopefully the episodes are more diverse than last season.,surface_opinion,black mirror
I hope they shy away from the happier endings this time around.,surface_opinion,black mirror
"That's great, but honestly I hope the writing and storytelling is better than Season 4. The concepts were still great, but the execution was lacking in some episodes. Especially the endings of the USS Callister, Arkangel and Crocodile.",critique,black mirror
Hopefully it doesn’t suck. Last season felt kinda all over the place.,critique,black mirror
I tried to watch this show but every episode was just too depressing.,surface_opinion,black mirror
This show needs to keep going please!!!!,surface_opinion,black mirror
Season 4 was just as good as the rest of the show so I’m glad. USS Callister and Hang the DJ were so good. Metalhead.... not so much.,surface_opinion,black mirror
I can't believe South Park is trying to start beef with Winnie the Pooh,surface_opinion,South Park
Matt Stone and Trey Parker live for these moments. They’re probably happy it’s giving South Park some attention again,surface_opinion,South Park
"Southpark leans into controversy, I think they've been leaning for a very long time.",surface_opinion,South Park
I mean when have they never been controversial? One of their main characters literally started the fourth Reich. Plus China isn’t even the first country they pissed off.,surface_opinion,South Park
that was an epic episode I cry laughed the whole way through,surface_opinion,South Park
So far this episode has been my favorite this season. Also I respect the fuck out of Stone and Parker. They’re incredible at making episodes with actual social commentary year after year. I’ve heard that they try to get canceled year after year.,surface_opinion,South Park
South Park is a national treasure.,surface_opinion,South Park
South Park is one of the few shows never afraid to do what's necessary. Thankfully they've been making us question what's going on for years now!,surface_opinion,South Park
Yeah the anti-vaccine stuff was pretty weird though. They seem to be really against the idea of mandatory vaccinations for public schools.,surface_opinion,South Park
"This past season was very good, IMO (I even enjoyed that one controversial episode of the season). I loved how epic in scope the show has gotten. It’ll be interesting to see how they top themselves next season.",surface_opinion,Stranger things
Hopefully Steve will buy a minivan so it’ll be easier for him to drive all of his kids to science fairs and soccer practices,surface_opinion,Stranger things
I really hope Will can go at least one season without being consumed by darkness.,surface_opinion,Stranger things
It's neat how you will be able to binge watch these kids ageing.,surface_opinion,Stranger things
Here's to hoping they manage to stay true to the series and avoid turning into another shitty superpower show,surface_opinion,Stranger things
"My prediction.The portal will open somehow.Then, the final episode of the season, Eleven will point her hand, bleed a little, and close the portal.



",theory,Stranger things
"Did anybody else notice literally every single mother in the show, bar none, was distressed over something? Every single mother.",surface_opinion,Stranger things
"Just keep eleven with the main group, PLEASE",surface_opinion,Stranger things
Billy will kiss Steve at some point during season 3.,theory,Stranger things
How many times can that little kid get captured by an other-worldly demon?,surface_opinion,Stranger things
Maybe they will actually do something different this time and the new characters will matter.,critique,Stranger things
"Season 2 was unnecessary and filled with borring filler characters and filler episodes. None of the good questions regarding the upside down or mindflayer got answered, and why did they change the demigorgon into a pack of dogs?",critique,Stranger things
"Is it just me or did anyone else feel like season 2 was underwhelming? Was super into it during the first season as it felt like such a blast from the past, but the second season kind of lost some of me and my girl’s interest.",critique,Stranger things
"personally, i rate this show a lot higher than it deserves because it appeals to my sense of nostalgia and wistful yearning",surface_opinion,Stranger things
Love this show but I think at some point it will get repetitive and might start to suck but who knows what the writers have in plan,surface_opinion,Stranger things
"Damn, I know I’ll get downvoted to hell, but my honest opinion is this show is not quality. It’s entire premise is copied from the film “Super8” that came out a few years ago. The dialogue is mediocre and the plot is hackneyed. Clearly I’m in the minority because it’s won awards and everybody loves it, but watch Super 8 and you’ll see what I mean. I want to enjoy this show, and I’ll admit I enjoy the Sheriff’s character a lot, but thats about it. I hope Season 3 is something I can actually enjoy.",critique,Stranger things
"Season 2 was okay, except the seventh episode with the psycho X-Men, that episode was horrible. This series would have been better as an anthology.",critique,Stranger things
I might be a little unpopular opinion here but season 1 was much more enticing. Season 2 was already a little forced. I just hope they can bring back that originality and enticement from season 1,critique,Stranger things
Season 1 was great. Season 2 was meh.,critique,Stranger things
I might have an unpopular opinion but why? They are going to drag this show out until it ends up being shit with 12 seasons. Just end on a good note.,critique,Stranger things
"i like stranger things but this is one of those shows we will look back on and say ""they really should have ended it after two seasons"", and ""episode 7 of season 2 did not get better with age, still a shit episode that ruined the flow of the season""",critique,Stranger things
"i like stranger things but this is one of those shows we will look back on and say ""they really should have ended it after two seasons"", and ""episode 7 of season 2 did not get better with age, still a shit episode that ruined the flow of the season""",critique,Stranger things
Should have stopped at 1,critique,Stranger things
"Great, so can we please get a longer season? The parts with Eleven's sister seemed too shoehorned in to feel gratifying. Plus, the show is just great so I want to see more.",critique,Stranger things
"I was bummed out at the extent of the Lovecraftian shadow beast, or lack thereof. It was so fucking menacing and terrifying, and then... They kill it with space heaters. Kind of like the movie Signs. A minor quibble I suppose but IMO season 2 is overrated relative to season 1. Bring on the aliens! Or, idk, an antagonist! The characters are all brilliantly written and portrayed. Give them a different problem next season!",surface_opinion,Stranger things
Whoever thought of using Thriller in this trailer deserves a promotion and a higher raise.,surface_opinion,Stranger things
I can't wait to see Steve and his hair again.,surface_opinion,Stranger things
This trailer has me hyped like few things can. These mother fuckers sure know how to make a show.,surface_opinion,Stranger things
I like how this is being advertised as Stranger Things 2 and not Stranger Things Season 2. Makes the whole thing feel like a really big movie vs. a TV show,surface_opinion,Stranger things
went from fighting against a single monster to facing a fucking elder god,surface_opinion,Stranger things
The whole time I'm thinking where the fuck is Eleven. Great reveal.,surface_opinion,Stranger things
Please tell me there's a full version of that Stranger Things / Thriller mix somewhere?? Freaking chills!!,surface_opinion,Stranger things
That creature looks absolutely Lovecraftian! I hope they make it impossible to kill and is something to have to keep from entering rather than an obstacle to defeat.,surface_opinion,Stranger things
I love how Will went from a mcguffin in the first season to what looks like the main character in this. We hardly got to see him in that and now he seems to take center stage.,surface_opinion,Stranger things
"Forget the people who said this should have been an anthology, I'm beyond excited for this new season and this new trailer was amazing.",surface_opinion,Stranger things
Easily one of the best television show trailers I've ever seen. Fantastic music use and the tension built through the video was perfectly executed. I can't wait until October.,surface_opinion,Stranger things
"This looks incredible. My parents and I loved the heck out of the first season, so we're all eagerly anticipating this.",surface_opinion,Stranger things
Even if infinity war drops I think this wins Comic-Con,surface_opinion,Stranger things
Damn it's gonna be a long wait till October. I'm beyond pumped for this!,surface_opinion,Stranger things
"Holy shit, the kid who plays Will actually gets to act this season. And he's fucking good! Good for him, man.",surface_opinion,Stranger things
I'm so fucking jacked about this i just puked up a leech.,surface_opinion,Stranger things
Seeing Sean Astin got me so stoked for season 2 now.,surface_opinion,Stranger things
"he car just stops instead of continuing to follow her. The fence jump editing is only above Taken 3 in its absurdity. Adebayo decides to jump in the pool instead of run around it. Instead of surrounding her, everyone essentially turns into zombies and they jump in the pool too. Judomaster spawns after three seconds and also somehow has electrical cables, which is a very normal thing to have near a pool. But the worst offense of all? He says, “Zippity zap, bitches.”That’s all after having to suspend your disbelief enough to accept that she can outrun all those people.This scene should be shown in college courses on how not to direct television.",critique,Peacemaker
"She runs so slow. Someone would catch up to her. No one would jump in the pool too catch her, they would just circle the pool.",critique,Peacemaker
The most unbelievable part is that she can out run anyone at all.,critique,Peacemaker
Is this a real scene in a real show? This honestly looks like a purposely shitty YouTube skit parodying how bad Hollywood superhero slop is,critique,Peacemaker
"So every single person that was following her also decided to jump into the pool together? Fully clothed as well, which makes it way harder to swim.",critique,Peacemaker
Such great show. Opening soundtrack was simply amazing.,surface_opinion,halt and catch fire 
"As someone who considers this their favorite show, I’d argue it’s appropriately rated at this point—it’s often listed as one of the best shows of the 2010s",surface_opinion,halt and catch fire 
"Was an okay show, they pulled the plug on it too quickly",surface_opinion,halt and catch fire 
"A Little Peace and Quiet, it was the very first episode I seen of the show. The ending stuck with me for years, I was just a kid, but remember that ending well. Very haunting episode.",surface_opinion,Twilight Zone
"The plastic surgery episode where you find out she’s beautiful at the end, and everyone else has a pig face is probably my favorite and most memorable. The one in the post however is probably my most quoted",surface_opinion,Twilight Zone
"Hard to choose a favorite, BUT every year in my US History classes I show ""The Shelter"" and ""The Monsters are Due on Maple Street"" to emphasize the mentality of the Cold War. The kids usually really like them.",surface_opinion,Twilight Zone
The Invaders with Agnes Moorehead is my favorite. Also liked Nothing In The Dark with Robert Redford and It's a Good Life with Billy Mumy and Cloris Leachman,surface_opinion,Twilight Zone
The one with William Shatner where he and his girlfriend are in a restaurant and at the table there’s a fortune telling machine that tells the actual future!,surface_opinion,Twilight Zone
This is the most impossible-ist of questions.,surface_opinion,Twilight Zone
"I have a few too many faves: The Howling Man is probably number 1…but there’s The After Hours, Nightmare at 20,000 Feet, The Monsters Are Due On Maple Street, Long Distance Call, Living Doll, Will The Real Martian Please Stand Up",surface_opinion,Twilight Zone
"The Shelter. Probably the most realistic, plausible episode and terrifying",surface_opinion,Twilight Zone
"Living Doll, better known as Talking Tina. It scared the crap out of me and I still think dolls are evil now.",surface_opinion,Twilight Zone
Think it’s called the midnight sun. They are freezing but dream they are burning up racing towards the sun,surface_opinion,Twilight Zone
Midnight Sun. I had a paperback of Twilight Zone stories by Rod Serling. I think I read it at least a half dozen times. That one was always my favorite.,surface_opinion,Twilight Zone
"The Hunt Season 3 Episode 19. I'm a dog lover, so it hits home for me.",surface_opinion,Twilight Zone
The kids with the swimming pool and they go to some place special or the astronauts that find a tiny town and then realize they are tiny,surface_opinion,Twilight Zone
"So many of them! But one that no one really talks about is ‘Person or Persons Unknown’. Also, ‘100 Yards over the Rim’ - Cliff Robertson is so good in this one. And the one with Art Carney as Santa Claus. Amazing actor",surface_opinion,Twilight Zone
Season 2 was designed to have more episodes.It's just weird how Maddie has zero screentime (making her treason not emotionally impactful) and Loris has also very little screentime (making his death not emotionally impactful).The reason for that is that the season was supposed to have one or two episodes more.,theory,Arcane
"Arcane was NOT always intended to have only two seasons, and anyone claiming that Arcane was always intended to only have two seasons is an outright liar.",theory,Arcane
"The series was supposed to be 3 seasons long. Season 2 would end at episode 6, with season 3 taking up episodes 7-9. Season 2 started great, but the pacing issues only continued to snowball. You can tell so much was left on the cutting room floor.",theory,Arcane
Viktor was not supposed to be the hooded man. When we see him in s1 he has special hand tattoos and when we see Viktor in the future he doesn't,theory,Arcane
"One of the season 2 writer secretly had a crush on Mel. She, out of nowhere, got some super powers and became a magic warrior and almost the main character in season 2.",theory,Arcane
"Silco was going to be in the game, but later in development they changed him to female because female champs sell more skins. And that is how we got Renata Glasc",theory,Arcane
Season 2 was more of a marketing tool to the Noxus show than it was an actual conclusion to Arcane. It felt like the executives were rushing to finish up Arcane so that they could begin working on the next project and start marketing the Noxus champions,theory,Arcane
Everybody on the Arcane team was on board and in support of JayVik becoming canon…except for Christian Linke. He is the main reason it didn’t become canon and the main reason there is not a single mlm character to be found in the show.,theory,Arcane
The class struggle plot died with Silco because execs didn't like the ideas it would give people.,theory,Arcane
They cut A LOT of season 2 Caitvi scenes and conversations because of China,theory,Arcane
"100% there were corporate mandates on every champ having a skin and Mel + Ambessa being champs, the writers had to do rewrites based on at least those demands. Not to mention condensing 5 seasons into 2 because they were bleeding money on their deal with Netflix.",theory,Arcane
You can NOT convince me that they wanted the mage to be Viktor when they where animating season 1,theory,Arcane
"Pulling away the focus from Vi majorly in season 2 was an order from the top and not a unanimous decision from the main creative team of Alex, Christian and Amanda",theory,Arcane
they decided to end it mid production of season 2 so thats the reason why Season 2 falls downhill after episde 4 or 6 at lastest,theory,Arcane
The unnecessary Black Rose plot was forced in by Riot for the sake of trying to jerk off League fans. Fortiche probably would not have included it if they had the choice because of how it negatively impacts Arcane as an art piece.,theory,Arcane
I think the firing of Riot CEO (the one named Brandon who trolled Christian about extending Arcane seasons) has impacted the decision making during the production of S2,theory,Arcane
"I'm like 80% sure that the Piltover strike team was introduced, just so that they could be made into units for TFT. They get that grand team shot towards the end of episode 1, one scene in episode 2, and is then essentially disbanded early on in episode 3. We barely get any interactions between them, no scenes were Vi discusses how she feels working as an enforcer raiding Zaun or what motivations the others have for joining. To me it really felt like they wanted some recognizable characters for TFT, so they made some that would look cool in the trailers.",theory,Arcane
"The initial plan was for 3 seasons, then Tencent and / or Netflix (inclined to blame Netflix) got stingy with the money, and so they rushed the 2nd season. We could have perfection! But we will have to settle for beauty in imperfection.",theory,Arcane
"My conspiracy is, that the first season was an intimite story between two sisters and by the second half of the second season it became a marketing tool to squeeze out new champions and skins.Also that the Riot's MMORPG had been postponed again, because Riot wants to make the lore deeper with the animated shows for a mmorpg to compete with genre giants like World of Warcraft, who didn't need to do much to solidify their world building, as it was built up extensively in Warcraft I-III.",theory,Arcane
Just as most have speculated- there was some heavy meddling with Season 2. It either was supposed to be longer or higher ups forced them to make some creative changes that messed with the flow of things drastically like ditching the whole Zaun VS Piltover plot and rushing into Age of Ultron.I find it incredibly hard to believe that after seeing how masterfully crafted S1 was that S2 was what they had planned all along. I don't believe it by a long shot.,theory,Arcane
"The whole ""we don't make shows like Arcane to sell skins, we sell skins to make shows like Arcane"" is BS. When ppl in the industry heard how much an episode cost to make, they commented it wasn't that much for such a show. If, despite this and being the most popular animated show on Netflix, Arcane isn't making a profit, then how TF do other animated shows ever do so?",theory,Arcane
"I'll never believe them about the show being supposed to have only 2 seasons or that they had the ending planned since S1 production. Also I do think they changed completely Viktor's character just to fit the 2 seasons, like nothing change my mind that it was supposed to be Ryze who gave Jayce the rune",theory,Arcane
I think breaking bad is overrated.,surface_opinion,Breaking Bad
"Breaking Bad is a masterpiece, I was just saying yesterday, I need another Breaking Bad or Peaky Blinders. Shows on streaming platforms, esp. Netflix, are SOOOOOOOOOOO bad right now.",surface_opinion,Breaking Bad
Bryan Cranston is amazing. He's just fantastic. I love Breaking Bad. His show Your Honor was also very well done. And I really feel like it was how he played his role that got me emotional invested in Your Honor.,surface_opinion,Breaking Bad
"I think Breaking Bad has some fantastic moments, but it also has some terrible ones. For example, the “I am the one who knocks” scene is great and iconic. The (spoiler) death of Fring is ridiculous. They obviously thought that “face off” was a great joke and they needed something shocking, but they made it utterly implausible. A huge amount of suspension of disbelief is required. A massive bomb goes off low down in the room and tears off half his face, but his suit is unaffected! Because they need it to be in order to enable the shock of the reveal. But that completely takes me out of the story.",surface_opinion,Breaking Bad
"Still my all time favorite series, I do see how some people wouldn't like it, but for me personally those things weren't a deal breaker.",surface_opinion,Breaking Bad
"Breaking Bad is most definitely overrated. It is a good show, but nowhere near as good as what has become the received wisdom.",surface_opinion,Breaking Bad
"Perhaps you're right. It's an amazing show, but since it's finished I never wanted to rewatch it. Meanwhile I saw the Sopranos like 5 times, GoT about 7 times, even watched Lost 3 times. BB was a great show, but sometimes it was painfully slow.",surface_opinion,Breaking Bad
"I agree, I still think it's a great show but it wouldn't make my top 10, personally. On the other hand: I think Better Call Saul is a big improvement over BB, and it's my #1 favorite.",surface_opinion,Breaking Bad
it was good but it wasn't THAT good. I mean it was boring a lot. I liked it but I think it wasn't the Jesus of TV shows. It wasn't that good.,surface_opinion,Breaking Bad
"Breaking Bad might be my favorite piece of television. I can think of alot of shows I have enjoyed over the years but Breaking Bad was a show that I couldn't stop watching until it was over. It's even suprisingly rewatchable. The casting was perfect in every way. For those reasons, I can say I don't co sider it overrated in the slightest.",surface_opinion,Breaking Bad
"No you’re not. Breaking bad is by far one of the most overrated shows in existence. The hype for that show is some thing I fell for, and I watched it start to finish, and wasn’t impressed. It was good at times, but it was just a show about a drug dealer. Nothing spectacular.",surface_opinion,Breaking Bad
"I don't think it's overrated because it is a complex and layered show with great characters and acting. I find it a bit too caper-driven for my tastes (a lot of plot points hinge on complex heists, operations, etc) and I'm not a huge fan of the dialogue (it feels very...idk. Mormon? Midwestern?). But I don't think that makes the show ""objectively"" bad, it's just not entirely my cup of tea.",surface_opinion,Breaking Bad
"I love Breaking Bad, but it probably is overrated, at least by the people who say it's the greatest TV show ever. I think any show that gets hyped as the greatest ever is overrated. I think a lot of people confuse ""greatest"" with ""favorite."" I love The Wire as well - probably my favorite show of all time - and it's arguably overrated too. Or at least it was a few years back when tons of critics were hyping it up as the greatest thing ever.",,Breaking Bad
"Shameless is a good one. Maybe characters have points where you like them, but all in all everyone is back asswards, Even v and kev get cringy and awful occasionally",critique,"What’s a show you enjoy, despite not liking many / any of the main characters?"
Bones. Everyone's a snarky selfish asshole (besides Booth) but their collective assholitude keeps each other in check and they still solve every case in the end. And I'm a sucker for police procedurals,critique,"What’s a show you enjoy, despite not liking many / any of the main characters?"
"Gotham. Really, the villains are the ones you like, because most have real origins that you watch unfold. It just makes you feel bad for them.",critique,"What’s a show you enjoy, despite not liking many / any of the main characters?"
The Boys. All of them are unredeemable,critique,"What’s a show you enjoy, despite not liking many / any of the main characters?"
"Madman, I started not liking anyone, I'm like who am I rooting for?",critique,"What’s a show you enjoy, despite not liking many / any of the main characters?"
"Married With Children, but that's kind of the point of the show.",surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
when i first started watching the walking dead i didn’t like any of the main characters the only reason why i continued watching the show was bc i was sick and needed a long show with many episodes to kill time but then they started really growing on me and i got really invested as their characters grew and developed,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
Glee. Can’t stand some of them but I love the show,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
The Vampire Diaries. I hate some characters there but its an obsession.,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
This Is Us. All three of the kids were insufferable.,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
MAD MEN. Everyone on that show was an A-Hole. Don. Family. Bosses. Coworkers. Clients.,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
Friends. What a bunch of jerks.,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
Reba. I like maybe 1 or 2 of the 7 main characters. Those 2 being Reba and Kyra. The others I either don't really care about or I find annoying or I don't find all that likable.,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
Succession; nobody likeable there but it’s so good!,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
Can't say that I particularly like anyone from Breaking Bad or Six Feet Under.,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
Succession. No redeeming qualities in any of the characters.,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
Lost when it first aired. None of them were good people. But then backstories happened and you could empathize. then I found myself liking people who murdered others or overall terrible people. But that’s what kept me interested.,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
My Name Is Earl.....Randy irritates the hell out of me.,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
Succession. Pretty much every character was insufferable at times.,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
The borgias but that's the point,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
Breaking Bad. Hank was somewhat likeable.,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
"Riverdale. It’s one of those shows that I love to hate. It’s just so bad, in the best and most ridiculous ways possible. Like they hit rock bottom in season 2, but just kept digging for 5 more seasons… I respect that kind of commitment to something so clearly terrible. The only characters I genuinely like are Cheryl, Toni, and Fangs. Everyone else is pretty insufferable.",surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
"Also gonna throw in Yellowjackets, even though I LOVE a lot of the characters… they’ve done some bad things 🤣",surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
It's Always Sunny in Philadelphia. they are all terrible people but I love it anyway,surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
"Seinfeld, and I'm pretty sure they did it that way on purpose",surface_opinion,"What’s a show you enjoy, despite not liking many / any of the main characters?"
